Sample Name,Treatment,Time,Group,StartDate,DeathDate,Days.Survival,Dead,ExpID,ExpPreLoad,ExpPostLoad,ExpAve,ShedZoospore
24N-1,24hr_NoContact,24hr,No Contact,44305,44340,35,1,EX59,107034.8145,108717.2852,107876.0498,201.2457848
24N-2,24hr_NoContact,24hr,No Contact,44305,44330,25,1,EX50,466684.4375,1273394.063,870039.25,3496.768799
24N-3,24hr_NoContact,24hr,No Contact,44305,44371,66,0,EX55,123145.9863,282143.2617,202644.624,94.35799599
24N-4,24hr_NoContact,24hr,No Contact,44305,44339,34,1,EX13,45770.39844,176136.1563,110953.2773,78.59247684
24N-5,24hr_NoContact,24hr,No Contact,44305,44335,30,1,EX64,2023105.938,4799616.563,3411361.25,3532.364197
24N-6,24hr_NoContact,24hr,No Contact,44305,44349,44,1,EX63,104144.9805,1319472.031,711808.5059,907.1247101
24N-7,24hr_NoContact,24hr,No Contact,44305,44371,66,0,EX5,62533.89844,1185390.781,623962.3398,9128.103027
24N-8,24hr_NoContact,24hr,No Contact,44305,44371,66,0,EX11,514712,1165187.813,839949.9063,11087.69043
24N-9,24hr_NoContact,24hr,No Contact,44305,44335,30,1,EX52,64082.54688,419818.2813,241950.4141,7417.115479
24N-10,24hr_NoContact,24hr,No Contact,44305,44339,34,1,EX15,130422.0625,2214135.938,1172279,1440.993347
24C-1,24hr_Contact,24hr,Contact,44305,44336,31,1,EX58,58349.23828,130336.8359,94343.03711,
24C-2,24hr_Contact,24hr,Contact,44305,44326,21,1,EX3,213172.2813,3750743.438,1981957.859,
24C-3,24hr_Contact,24hr,Contact,44305,44329,24,1,EX45,427374.5,83499.67969,255437.0898,
24C-4,24hr_Contact,24hr,Contact,44305,44328,23,1,EX24,2073097.813,26246.48438,1049672.148,
24C-5,24hr_Contact,24hr,Contact,44305,44358,53,1,EX1,5271.784668,1483.25592,3377.520294,
24C-6,24hr_Contact,24hr,Contact,44305,44342,37,1,EX36,21379.60449,23384.43848,22382.02148,
24C-7,24hr_Contact,24hr,Contact,44305,44335,30,1,EX41,28234.16748,73267.77344,50750.97046,
24C-8,24hr_Contact,24hr,Contact,44305,44327,22,1,EX6,16436.58984,1768040.469,892238.5293,
24C-9,24hr_Contact,24hr,Contact,44305,44323,18,1,EX32,343212.375,3797899.063,2070555.719,
24C-10,24hr_Contact,24hr,Contact,44305,44322,17,1,EX39,288652.375,83646.5,186149.4375,
48C-1,48hr_Contact,48hr,Contact,44306,44315,9,1,EX51,176191.5625,5031181.25,2603686.406,
48C-2,48hr_Contact,48hr,Contact,44306,44337,31,1,EX12,79153.7207,107772.8906,93463.30566,
48C-3,48hr_Contact,48hr,Contact,44306,44330,24,1,EX42,1183560.938,768589.375,976075.1563,
48C-4,48hr_Contact,48hr,Contact,44306,44347,41,1,EX21,60690.51563,1324245.469,692467.9922,
48C-5,48hr_Contact,48hr,Contact,44306,44319,13,1,EX18,4687160.625,2738872.5,3713016.563,
48C-6,48hr_Contact,48hr,Contact,44306,44338,32,1,EX37,24638.88184,19844.6875,22241.78467,
48C-7,48hr_Contact,48hr,Contact,44306,44333,27,1,EX10,1698925,5113721.25,3406323.125,
48C-8,48hr_Contact,48hr,Contact,44306,44365,59,1,EX35,187480.0781,458349.2578,322914.668,
48C-9,48hr_Contact,48hr,Contact,44306,44330,24,1,EX23,219353.6523,948257.5,583805.5762,
48C-10,48hr_Contact,48hr,Contact,44306,44322,16,1,EX14,121231.2891,25660.62109,73445.95508,
48N-1,48hr_NoContact,48hr,No Contact,44306,44371,65,0,EX56,60797.51953,363428.75,212113.1348,27.1812892
48N-2,48hr_NoContact,48hr,No Contact,44306,44326,20,1,EX49,381818.7109,447736.875,414777.793,422.1421814
48N-3,48hr_NoContact,48hr,No Contact,44306,44349,43,1,EX43,112098.8281,636195.5859,374147.207,468.3324432
48N-4,48hr_NoContact,48hr,No Contact,44306,44371,65,0,EX26,198525.8594,766674.6875,482600.2734,464.4974899
48N-5,48hr_NoContact,48hr,No Contact,44306,44342,36,1,EX61,142147.4023,334126.6406,238137.0215,868.7150574
48N-6,48hr_NoContact,48hr,No Contact,44306,44329,23,1,EX54,89997.65625,27024.54883,58511.10254,4587.766418
48N-7,48hr_NoContact,48hr,No Contact,44306,44336,30,1,EX27,0.468695343,324833.7109,162417.0898,428.9201736
48N-8,48hr_NoContact,48hr,No Contact,44306,44331,25,1,EX46,414368.2813,485186.7188,449777.5,1331.582031
48N-9,48hr_NoContact,48hr,No Contact,44306,44329,23,1,EX25,1536806.25,340976.9531,938891.6016,3598.724976
48N-10,48hr_NoContact,48hr,No Contact,44306,44328,22,1,EX20,2494182.188,378856.0156,1436519.102,7975.880127
72N-1,72hr_NoContact,72hr,No Contact,44307,44337,30,1,EX28,387626.2891,336158.9063,361892.5977,177.0320892
72N-2,72hr_NoContact,72hr,No Contact,44307,44333,26,1,EX40,208669.9688,1207261.875,707965.9219,715.7898712
72N-3,72hr_NoContact,72hr,No Contact,44307,44347,40,1,EX62,966480.1563,147608.0762,557044.1162,506.1532593
72N-4,72hr_NoContact,72hr,No Contact,44307,44332,25,1,EX7,9791641.25,1529849.688,5660745.469,3945.78949
72N-5,72hr_NoContact,72hr,No Contact,44307,44336,29,1,EX47,806421.7188,995159.1406,900790.4297,1064.266663
72N-6,72hr_NoContact,72hr,No Contact,44307,44339,32,1,EX2,78500.60938,600275.9375,339388.2734,1343.066101
